customer_id,f_name,l_name,state,address
1,Paul,Griffin,Kansas,"22283 Sean Isle Suite 420, Wadetown, ND 81212"
2,Gary,Mcclure,Indiana,"93985 Hannah Brooks Apt. 083, Barberside, LA 93473"
3,Nicole,Brock,North Dakota,"24746 Devin Land Apt. 858, Port Margaretside, GU 13007"
4,Kristen,Reese,Tennessee,"60697 Norton Turnpike, Ernestfurt, VT 83544"
5,Christopher,Drake,Alaska,"4771 Jimenez Pines Suite 786, Lake Keithberg, UT 81289"
6,Amy,Gordon,Pennsylvania,"29246 Tiffany Summit, Cynthiachester, CT 35177"
7,Justin,Sanchez,Oregon,"Unit 5167 Box 0109, DPO AP 12438"
8,Victor,Thomas,Oregon,"629 Gregory Village Apt. 574, East Lisa, NJ 19416"
9,Jamie,Meyer,New Jersey,"2938 Flores Crossing, New Stephanie, MN 55980"
10,Omar,Bartlett,New York,"032 Anderson Springs Suite 543, Jeremyburgh, OK 01852"
11,Edward,Thornton,Oregon,"91877 Kimberly Circles Suite 260, Terryshire, MD 69795"
12,Peter,Johnson,Louisiana,"87872 Davis Rue, Christianhaven, GA 80189"
13,Spencer,Kelly,Idaho,"68542 Yolanda Street, East Christineside, TX 95797"
14,Shelby,Oliver,Texas,"957 Johnson Spurs Apt. 835, East Robertton, NJ 42981"
15,Nathan,Nelson,Wisconsin,"58798 Crystal Rest, Trujilloberg, MA 54434"
16,Michael,Ross,Wisconsin,"4434 Mcdonald Ports Suite 333, Wisechester, TX 92167"
17,Andrew,Monroe,Alabama,"565 Mason Crest, Wilsonstad, KS 06807"
18,Justin,Thomas,Maryland,"854 Anderson Glen Apt. 702, North Gregory, MP 50273"
19,Angela,Jones,Michigan,"464 Powell Oval, South Bryanfurt, NJ 12944"
20,Cody,Hamilton,New Mexico,"6655 Zoe Trail Apt. 442, Duranport, VA 53228"
21,Daniel,Davis,Arkansas,"4474 Lindsey Stream Apt. 463, North Nicholas, AL 55448"
22,Maria,Silva,New Mexico,"5301 Brandon Mount, Trevorland, GU 78753"
23,Kristina,Forbes,Rhode Island,"0275 Elizabeth Tunnel Suite 912, Port Daniel, CA 02065"
24,Bobby,Durham,Nebraska,"915 Dominique Rapid Suite 498, South Jennifer, WY 53189"
25,Natalie,Wood,New Mexico,"8644 Willis Ways, Maxmouth, SC 12761"
26,Nicole,Bryant,Kansas,"2703 Michael Divide, Ericmouth, NJ 33619"
27,Yolanda,Burton,Connecticut,"11232 Erica Loop, East Paige, NV 38383"
28,Wanda,Bell,North Dakota,"0426 Martin Well, East Ryan, GA 18959"
29,Mercedes,Aguilar,Iowa,"472 Arias Cape Apt. 525, Turnerfurt, VI 37564"
30,Adrienne,Murillo,Nebraska,"76332 Wood Circles, South Austinshire, GU 80153"
31,Amanda,Jimenez,Maine,"567 Christopher Lodge Apt. 349, West Sarah, NV 37734"
32,Cody,Johnson,New Mexico,"037 Ellison Views Apt. 661, West Victoriachester, WY 96001"
33,Kyle,Middleton,Washington,"USS Collins, FPO AA 80817"
34,Ashley,Miller,Louisiana,"Unit 3830 Box 9060, DPO AE 90832"
35,Kevin,Clark,Idaho,"34630 Stevens Shores, New Rebeccafurt, SC 51388"
36,Ronald,Harris,Nevada,"68397 Vargas Via, Woodsland, GA 20196"
37,Steven,Spears,Colorado,"717 Avila Green, Port Davidmouth, WA 75958"
38,Alexander,Hurley,Utah,"168 Shannon Causeway, Lake Theresa, OR 42635"
39,Nancy,Lee,Massachusetts,"15849 Silva Glen Apt. 019, New Kyleton, NH 53063"
40,Brandon,Gilbert,Oklahoma,"33576 Murray Motorway, New Mistychester, VA 52638"
41,Christina,Nguyen,Maryland,"2356 Smith Cliff, Port Marie, VI 80014"
